19335	0.7144
47923	0.5744
67316	0.2769
86606	0.0
87452	0.4755
88495	0.0
144862	0.7593
166046	0.234
174463	0.3837
177604	0.6306
182539	0.6338
190044	0.1238
264403	0.0
273695	0.2249
315637	0.0
332593	0.6421
443396	0.0663
451602	0.1317
489204	0.3617
507445	0.0
527433	0.7117
537817	0.0732
554515	0.4872
588587	0.0
655914	0.2559
673670	0.2501
705609	0.0
730539	0.6723
794429	0.0
801118	0.0
877809	0.6678
883915	0.0
915593	0.4684
966413	0.0
1049519	0.7262
1056204	0.3856
1056416	0.1792
1065636	0.0
1103153	0.4838
1103812	0.62
1105792	0.6288
1106007	0.1527
1108100	0.0
1108939	0.0
1109707	0.8233
1112341	0.5875
1114646	0.3792
1117817	0.0
1133485	0.0
1136769	0.3988
